id,title,severity,active,verified,is_mitigated,false_p,cwe,test,found_by,sla_days_remaining,sla_expiration_date,created
1311,GHSA-2p57-rm9w-gvfp in ip:2.0.1,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:58.998267Z
1312,GHSA-whpj-8f3w-67p5 in vm2:3.9.17,Critical,True,False,False,False,0,5,[12],7,2026-04-20,2026-04-13T17:10:59.026313Z
1313,GHSA-g644-9gfx-q4q4 in vm2:3.9.17,Critical,True,False,False,False,0,5,[12],7,2026-04-20,2026-04-13T17:10:59.041562Z
1314,GHSA-c7hr-j4mj-j2w6 in jsonwebtoken:0.1.0,Critical,True,False,False,False,0,5,[12],7,2026-04-20,2026-04-13T17:10:59.054602Z
1315,GHSA-c7hr-j4mj-j2w6 in jsonwebtoken:0.4.0,Critical,True,False,False,False,0,5,[12],7,2026-04-20,2026-04-13T17:10:59.067840Z
1316,GHSA-cchq-frgv-rjh5 in vm2:3.9.17,Critical,True,False,False,False,0,5,[12],7,2026-04-20,2026-04-13T17:10:59.078323Z
1317,GHSA-8hfj-j24r-96c4 in moment:2.0.0,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.088835Z
1318,GHSA-p6mc-m468-83gw in lodash.set:4.3.2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.099031Z
1319,GHSA-r7qp-cfhv-p84w in engine.io:4.1.2,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.109760Z
1320,GHSA-jf85-cpcp-j695 in lodash:2.4.2,Critical,True,False,False,False,0,5,[12],7,2026-04-20,2026-04-13T17:10:59.120262Z
1321,GHSA-87vv-r9j6-g5qv in moment:2.0.0,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.131162Z
1322,GHSA-xwcq-pm8m-c4vf in crypto-js:3.3.0,Critical,True,False,False,False,0,5,[12],7,2026-04-20,2026-04-13T17:10:59.141804Z
1323,CVE-2025-15467 in libssl3:3.0.17-1~deb12u2,Critical,True,False,False,False,0,5,[12],7,2026-04-20,2026-04-13T17:10:59.153129Z
1324,GHSA-rm97-x556-q36h in sanitize-html:1.4.2,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.163350Z
1325,GHSA-3h5v-q93c-6h6q in ws:7.4.6,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.172768Z
1326,GHSA-pfrx-2q88-qq97 in got:8.3.2,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.184201Z
1327,GHSA-cgfm-xwp7-2cvr in sanitize-html:1.4.2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.193599Z
1328,GHSA-p5gc-c584-jj6v in vm2:3.9.17,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.204243Z
1329,GHSA-f5x3-32g6-xq36 in tar:4.4.19,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.213836Z
1330,GHSA-35jh-r3h4-6jhm in lodash:2.4.2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.223516Z
1331,GHSA-3j7m-hmh3-9jmp in sanitize-html:1.4.2,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.233347Z
1332,GHSA-446m-mv8f-q348 in moment:2.0.0,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.243017Z
1333,GHSA-8g4m-cjm2-96wq in notevil:1.3.3,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.252318Z
1334,GHSA-6g6m-m6h5-w9gf in express-jwt:0.1.3,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.262118Z
1335,GHSA-4xc9-xhrj-v574 in lodash:2.4.2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.271168Z
1336,GHSA-mjxr-4v3x-q3m4 in sanitize-html:1.4.2,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.281157Z
1337,GHSA-rjqq-98f6-6j3r in sanitize-html:1.4.2,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.299694Z
1338,GHSA-rc47-6667-2j5j in http-cache-semantics:3.8.1,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.309086Z
1339,GHSA-xc6g-ggrc-qq4r in sanitize-html:1.4.2,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.319473Z
1340,GHSA-cqmj-92xf-r6r9 in socket.io-parser:4.0.5,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.328989Z
